"","from","to"
"1","Slc1a2","Ndrg2"
"2","Slc1a2","Hapln1"
"3","Slc1a2","Lix1"
"4","Slc1a2","Scrg1"
"5","Slc1a2","Ppap2b"
"6","Slc1a2","Fabp7"
"7","Slc1a2","Sparcl1"
"8","Slc1a2","Dtna"
"9","Slc1a2","Cxcl14"
"10","Slc1a2","Gja1"
"11","Slc1a2","Slc4a4"
"12","Slc1a2","Fermt2"
"13","Slc1a2","S100b"
"14","Slc1a2","Add3"
"15","Slc1a2","Cst3"
"16","Slc1a2","Sepp1"
"17","Slc1a2","Mgll"
"18","Slc1a2","Tspan7"
"19","Slc1a2","Pcdh7"
"20","Slc1a2","Csrp1"
"21","Slc1a2","Bcan"
"22","Slc1a2","Efnb3"
"23","Slc1a2","Tulp4"
"24","Slc1a2","Tpd52"
"25","Slc1a2","Apod"
"26","Slc1a2","Btf3"
"27","Slc1a2","Endod1"
"28","Slc1a2","Rps12"
"29","Ndrg2","Hapln1"
"30","Ndrg2","Slc6a1"
"31","Ndrg2","Scrg1"
"32","Ndrg2","Ppap2b"
"33","Ndrg2","Fabp7"
"34","Ndrg2","Sparcl1"
"35","Ndrg2","Dtna"
"36","Ndrg2","Cxcl14"
"37","Ndrg2","Gja1"
"38","Ndrg2","Slc4a4"
"39","Ndrg2","S100b"
"40","Ndrg2","Cst3"
"41","Ndrg2","Sepp1"
"42","Ndrg2","Trp53i11"
"43","Ndrg2","Csrp1"
"44","Ndrg2","Bcan"
"45","Ndrg2","Efnb3"
"46","Ndrg2","Ddr1"
"47","Ndrg2","Abcd3"
"48","Ndrg2","Endod1"
"49","Ndrg2","Stox2"
"50","Ndrg2","Ptprd"
"51","Hapln1","Slc6a1"
"52","Hapln1","Ppap2b"
"53","Hapln1","Fabp7"
"54","Hapln1","Sparcl1"
"55","Hapln1","Dtna"
"56","Hapln1","Cxcl14"
"57","Hapln1","Gja1"
"58","Hapln1","Slc4a4"
"59","Hapln1","Add3"
"60","Hapln1","Arl4c"
"61","Hapln1","Mgll"
"62","Hapln1","Abat"
"63","Hapln1","Gad1"
"64","Hapln1","Ptprm"
"65","Hapln1","Col19a1"
"66","Hapln1","Rph3a"
"67","Hapln1","Gad2"
"68","Hapln1","Tspan7"
"69","Hapln1","Bcan"
"70","Hapln1","Efnb3"
"71","Hapln1","Cadm4"
"72","Hapln1","Aplp2"
"73","Hapln1","Ptprd"
"74","Lix1","Laptm4a"
"75","Lix1","Sparcl1"
"76","Lix1","Ldhb"
"77","Lix1","Gabrb1"
"78","Lix1","Gja1"
"79","Lix1","Trim9"
"80","Lix1","Rgs10"
"81","Lix1","Epha5"
"82","Lix1","Tspan7"
"83","Lix1","Abr"
"84","Lix1","Gjc3"
"85","Lix1","Gatm"
"86","Lix1","Ddr1"
"87","Lix1","Abcd3"
"88","Lix1","Apod"
"89","Lix1","Rab9"
"90","Lix1","Neo1"
"91","Dclk1","Sparcl1"
"92","Dclk1","Trim9"
"93","Dclk1","Cntnap2"
"94","Dclk1","Gabra1"
"95","Dclk1","Slitrk4"
"96","Dclk1","Plcb1"
"97","Dclk1","Scn8a"
"98","Dclk1","Inpp4a"
"99","Dclk1","Kcna2"
"100","Dclk1","Fbxl16"
"101","Dclk1","Pdxp"
"102","Dclk1","Celf2"
"103","Dclk1","Epha5"
"104","Dclk1","Tspan7"
"105","Dclk1","Cdk5r1"
"106","Dclk1","Cry2"
"107","Dclk1","Ptprs"
"108","Dclk1","Slc12a5"
"109","Dclk1","Lgi1"
"110","Dclk1","Sult4a1"
"111","Dclk1","Lmo4"
"112","Dclk1","Camk1d"
