regulon	threshold	nCellsAssigned	AUCellComment	nGenes	clusteringOrder	clusterGroup	onlyNonDuplicatedExtended	personalNotes
Tef_extended (447g)	0.657	105		447	1	0	FALSE	
Tef (405g)	0.605	101	The AUC might follow a normal distribution (random gene-set?). 	405	2	0	TRUE	
Dlx5_extended (214g)	0.776	0	The AUC might follow a normal distribution (random gene-set?). 	214	3	0	FALSE	
Dlx5 (35g)	0.139	19		35	4	0	TRUE	
Irf1_extended (109g)	0.217	14		109	5	0	FALSE	
Irf1 (105g)	0.217	14		105	6	0	TRUE	
Stat6_extended (75g)	0.0667	17		75	7	0	FALSE	
Stat6 (27g)	0.0377	19	78% (more than 0.75%) of AUC are zero. 	27	8	0	TRUE	
Sox9_extended (183g)	0.45	28	The AUC might follow a normal distribution (random gene-set?). 	183	9	0	FALSE	
Sox9 (150g)	0.392	28	The AUC might follow a normal distribution (random gene-set?). 	150	10	0	TRUE	
Sox8_extended (136g)	0.359	47		136	11	0	FALSE	
Sox8 (97g)	0.64	0	The AUC might follow a normal distribution (random gene-set?). 	97	12	0	TRUE	
Sox10_extended (114g)	0.375	52		114	13	0	FALSE	
Sox10 (88g)	0.314	47		88	14	0	TRUE	
