"","from","to"
"1","Dclk1","Gabra1"
"2","Dclk1","Celf2"
"3","Dclk1","Tspan7"
"4","Gabra1","Nrxn3"
"5","Slc1a2","Cst3"
"6","Tspan7","Sparcl1"
"7","Nrxn3","Ncam1"
"8","Nrxn3","Aplp2"
"9","Tspan7","Ldhb"
"10","Cst3","Ptprd"
"11","Nrxn3","Ldhb"
"12","Aplp2","Ptprd"
"13","Ncam1","Btf3"
"14","Gabra1","Celf2"
"15","Dclk1","Nrxn3"
"16","Ptprd","Btf3"
"17","Sparcl1","Cst3"
"18","Tspan7","Ncam1"
"19","Btf3","Ldhb"
"20","Nrxn3","Ptprd"
"21","Sparcl1","Ldhb"
"22","Tspan7","Slc1a2"
"23","Gabra1","Slc1a2"
"24","Nrxn3","Sparcl1"
"25","Aplp2","Slc1a2"
"26","Tspan7","Aplp2"
"27","Dclk1","Sparcl1"
"28","Gabra1","Ncam1"
"29","Ncam1","Cst3"
"30","Nrxn3","Cst3"
"31","Gabra1","Cst3"
"32","Slc1a2","Sparcl1"
"33","Sparcl1","Celf2"
