"C1" "C2" "C3" "C4" "C5" "C6" "C7" "C8" "C9" "C10" "C11" "C12" "C13" "C14" "C15" "C16" "C17" "C18" "C19" "C20" "C21" "C22" "C23" "C24" "C25" "C26" "C27" "C28" "C29" "C30" "C31" "C32" "C33" "C34" "C35" "C36" "C37" "C38" "C39" "C40" "C41" "C42" "C43" "C44" "C45" "C46" "C47" "C48" "C49" "C50" "C51" "C52" "C53" "C54" "C55" "C56" "C57" "C58" "C59" "C60" "C61" "C62" "C63" "C64" "C65" "C66" "C67" "C68" "C69" "C70" "C71" "C72" "C73" "C74" "C75" "C76" "C77" "C78" "C79" "C80" "C81" "C82" "C83" "C84" "C85" "C86" "C87" "C88" "C89" "C90" "C91" "C92" "C93" "C94" "C95" "C96" "C97" "C98" "C99" "C100" "C101" "C102" "C103" "C104" "C105" "C106" "C107" "C108" "C109" "C110" "C111" "C112" "C113" "C114" "C115" "C116" "C117" "C118" "C119" "C120" "C121" "C122" "C123" "C124" "C125" "C126" "C127" "C128" "C129" "C130" "C131" "C132" "C133" "C134" "C135" "C136" "N1" "C137" "C138" "C139" "N2" "C140" "C141" "C142" "N3" "N4" "N5" "N6" "R1" "N7" "N8" "N9" "N10" "N11" "N12" "N13" "N14" "N15" "N16" "N17" "N18" "N19" "N20" "N21" "N22" "N23" "N24" "N25" "N26" "R2" "R3" "R4"
"Cst3" 28972.58 20355.72 19571.34 22518.94 32946.08 45035.81 27325.95 28598.32 11924.57 28773.24 59296.6 27066.48 58581.6 5885.47 7697.19 63423.02 37623.68 14991.98 36119.48 22992.38 16006.61 48674.1 22133.84 17477.16 72284.97 16586.81 87.24 62085.93 35420.6 3783.66 30558.53 11461.73 34223.25 38934.12 16331.95 5536.46 49024.8 31573.85 20611.58 52794.4 45900.6 10399.18 9435.13 96.65 1468.8 30616.68 30779.83 31431.86 19818.09 11828.6 33135.43 10372.72 18736.38 30349.65 14274.58 49173.06 2051.34 52229.95 2299.13 25026.39 8295.2 28565.57 14430.01 32896.51 6293.06 20587.86 26867.36 48646.58 6630.95 23833.74 26162.48 8383.83 7188.14 25810.81 5256.37 39143.22 37314.12 13754.08 3608.64 6309.12 32759.5 41212.2 14157.92 12960.58 16698.47 36495.04 28909.53 50323.28 9095.31 32699.07 18065.53 18782.44 25048.35 43257.56 17569.32 30587.79 35603.11 47055.41 6997.57 23136.03 19387.53 19743.53 45813.33 9660.73 18702.16 19327.78 33388.97 162.09 18596.76 338.76 2804.2 3726.85 1412.9 10242.03 26388.5 6033.77 16637.03 21242.37 5325.45 25107.93 11652.91 51578.7 2261.28 7885.22 3725.34 2842.95 1969.62 24384.73 7024.9 12709.54 1197.87 1762.7 1090.29 16036.51 2508.37 8535.98 30.59 3762.24 7749.76 4337.47 1620.78 2169.61 12221.91 43003.82 2813.09 218.82 7405.36 123.89 6990.74 2738.99 1468.23 3857.31 3429.31 60392.9 3307.94 2710.12 3956.3 1754.36 7817.12 76.28 2365.03 1515.6 58.99 236.11 736.39 1569.95 1843.78 31.67 43.38 8286.6 6651.15 5483.15
"Ubb" 2837.97 6552.88 5010.84 10976.37 18300.93 7503.7 17524.64 13294.21 11957.49 7807.45 11949.45 16386.59 17473.04 26852.53 20252.39 4939.71 8154.25 19156.08 17359.78 6511.3 26377.88 9903.64 7935.07 7885.82 12102.17 27295.85 49057.03 15165.13 22968.24 37109.78 12173.08 6633.12 12952.5 10048.69 9416.24 8368.96 15516.63 13772.4 13596.56 6995.79 12845.61 19183.67 11365.24 35913.03 10657.48 20967.32 22250.21 192.57 11980.99 13352.07 5259.34 16601.65 15802.09 9597.06 15484.22 25398.04 18598.15 12864.68 4911.63 7283.49 1692.47 4342.44 4893.62 19432.55 15690.55 5265.19 11374.63 22633.5 25800.03 15700.66 12326.62 6767.05 37938.23 9744.52 20833.46 12716.39 1995.04 20324.21 32176.36 29420.13 2964.47 6761.24 15606.83 10838.82 9762.75 8145.69 10886.05 9340.57 4168.08 7865.61 17189.84 30818.63 14637.61 10952.3 40523.94 13703.95 10178.25 19243.63 13142.46 15186.65 3988.74 13408.8 5432.75 25452.52 29305.92 8040.81 8967.84 32032.47 6632.78 6123.03 21125.76 16627.33 35469.13 8582.17 9802 30148.51 13772.68 4408.44 2990.28 21835.06 19909.87 48.11 27135.38 14878.84 28791.74 9347.52 18479.66 11617.33 21391.6 17563.05 21760.95 11801.9 25077.3 7365.7 14928.12 21581.96 16612.34 12961.84 21339.63 23999.65 24420.48 21389.85 11583.74 789.56 13179.13 16602.1 3314.74 5838.27 29695.37 25492.14 18554.85 42205.48 29470.06 2701.76 4490.29 30961.97 7313.62 26427.33 14569.25 19630.05 17701.68 21743.32 8178.02 26149.7 15482.47 16761.36 20084.01 6661.23 8783.42 22287.4 28262.71 26897.27
"Dbi" 12868.7 16688.47 9920.7 9269.34 11012.57 15465.83 5079.66 15629.39 4054.95 14077.06 9850.14 3933.27 21105.9 14423.57 5966.61 11587.48 14200.53 20259.12 9660.94 12661.18 5224.08 11213.86 11468.22 7263.56 4635.61 7285.31 6585.44 8871.78 8470.86 15888.6 13754.65 3607.31 11797.97 9551.77 3448.03 2233.67 17766.32 5853.5 8899.8 4415.59 22517.22 11042.97 6686.55 1550.68 6213.22 21282 14145.71 992.14 11873.21 4420.51 13690.46 10741.3 9150.74 6548.45 15376.92 6361.35 2462.97 20257.18 4428.99 4905.74 4345.12 9145.4 8080.08 11952.3 5321.04 23174.56 2844.07 17492.11 12346 17514.88 17603.64 8104.42 21719.72 10679.55 2557.28 7701.56 4324.47 13366.29 2163.3 9773.76 6269.52 1357.49 4551.99 30850.7 12761.5 16698.16 17877.77 17667.5 13624.19 7471.76 14918.28 5025.8 29776.54 15560.22 14524.7 3739.66 19884.8 14956.11 13178.2 3530.32 19683.42 10744.99 5174.35 5112.85 22147.54 16831.55 16705.87 6461.24 5189.7 2073.23 3524.08 3079.84 4831.03 15803.46 16639.15 17533.3 3815.91 17329.4 862.14 15220.17 2065.34 23938.51 1125.68 4556.08 1337.22 5203.7 1214.5 18285.64 1073.32 16199.81 1009.12 18694.66 255.06 13662.71 4100.87 21115.28 9813.43 2153.18 11.5 10724.17 9332.22 2287.54 11563.83 234.25 3008.65 52.26 2735.62 35.93 2053.99 2169.99 44.82 230.29 1922.33 4901.76 968.86 1089.79 1266.63 10980.04 101.28 5116.14 45.29 1179.74 3630.29 119.82 416.06 1229.12 4419.6 2092.94 44.03 2167.14 1946.64 2627.5
"Malat1" 6472.14 3155.32 5195.99 10577.01 7813.54 15742.18 1553.14 6255.72 9665.19 18425.99 10269.95 6433 760.5 896.2 3767.4 4647.81 17441.93 897.12 11935.03 6849.22 7534.88 14894.99 12168.68 14068.43 18638.25 5918.66 861.27 13409.71 17743.87 1308.36 17744.06 11347.65 25484.37 14269.56 18729.2 4478.96 9680.14 6652.02 13798.36 19105.48 20860.3 1833.2 3132.4 8821.34 6876.56 20291.52 19827.01 30219.36 12605.36 9805.51 17664.15 6654.44 2083.6 8371.67 7952.43 2748.7 1629.09 14979.65 3171.33 16983.8 4481.12 22916.48 15875.45 15076.66 699.99 68.31 8600.9 12723.57 4710.78 15050.83 3585 6065.75 9481.07 9491.19 774.24 6128.89 24552.81 1925.29 3430.8 409.48 13194.85 23475.61 2416.41 10223.19 6576.48 10931.93 9282.43 16230.78 17600.73 5168.54 5533.09 4772.68 12091.08 14974.98 9264.12 16590.84 7188.12 9612.1 6533.61 12783.42 836.44 11322.96 11017.89 2057.69 606.93 7955.57 9492.9 9234.81 4632.94 1522.34 621.39 1957.48 5549.48 28098.61 4346.3 36229.42 19252.79 17202.62 1229.81 3769.2 6531.98 10364.36 1591.71 4139.36 151.19 792.09 1571.48 3061.56 2520.73 12946.78 2038.44 5087 2179.89 19029.91 1128.08 5311.17 343.61 14614.81 5541.17 6119.39 4393.85 7288.37 10855.5 323.59 3591.01 771.42 474.22 1033.63 227.47 3333.69 4591.63 9587.2 13922.77 9165.37 1991.64 15931.2 3758.59 4806.75 554.36 11962.4 16542.7 904.64 7099.81 262 1598.65 1826.38 8696.1 1672.38 7297.32 460.75 232.3 520.77
"Custom_eCFP1_gene" 33810.79 26170.54 25021.09 24678.19 24664.25 24641.42 23388.84 23214.06 22324.25 21404.47 20222.98 20005.32 19240.64 19126.04 19081.58 18064.62 17870.31 16158.44 16108.91 16079.16 15632.02 15219 15078.11 14758.02 14671.26 14386.26 14338.6 14108.55 13944.7 13714.35 13620.63 13533.05 13155.97 12956.65 12904.53 12720.47 12521.93 12102.15 12036.13 12020.64 11980.16 11968.68 11713.61 11653.69 11587.63 11520.32 11485.74 11174.63 11115.63 11070.78 10919.57 10571.38 10215.04 10202.26 10164.45 9963.25 9899.84 9837.67 9474.38 9296.8 9175.11 9153.05 9110.43 9109.15 9095.9 9053 9038.65 8990.74 8845.99 8823.53 8765.51 8712.61 8473.46 8304.46 8122.59 7974.99 7852.63 7842.53 7832.87 7778.33 7706.03 7494.19 7405.2 7385.43 7339.02 7336.37 7064.6 6882.64 6825.41 6597.81 6437 6023.39 5950.44 5821.49 5815.71 5724.27 5724.12 5678.05 5517.24 5512.73 5266.04 5165.16 5104.7 5037.12 4989.83 4916.21 4843.91 4707.65 4433.4 4427.6 4393.04 4352.53 4345.93 4331.47 4232.23 4136.4 4049.59 4034.3 3999.94 3938.23 3911.6 3880.67 3622.46 3491.36 3257.48 3100.27 3078.97 2707.83 2526.7 2421.45 2183.47 1811.57 1567.72 1442.31 1393.89 1315.14 1306.22 1118.53 1063.6 987.89 747.64 709.75 647.13 481.82 450.58 147.23 131.81 127.11 107.86 84.31 82.22 78.11 75.46 71.43 58.62 45.34 43.79 41.7 39.82 36.52 35.61 34.23 32.81 31.4 30.97 27.12 20.44 18.05 17.31 15.66 8.32 5.01
"Ppia" 11533.01 9928.4 7369.39 8392.77 9134.71 5876.89 9246.24 6377.92 6628.45 4076.15 4154.15 13004.58 14206.8 9406.04 10698.72 5407.58 10431.63 6337.53 11435.47 4714.21 11502.82 9156.72 6143.38 5905.18 989.22 8410.48 9303.77 4336.75 6124.75 13128.89 7650.73 10151.59 1026.11 5336.78 15833.47 8313.25 7240.75 5889.27 4094.45 2820.49 4551.18 17823.4 9165.03 2483.43 6054.45 8197.84 6024.85 7470 6269.48 4631.55 1377.12 7534.46 10390.76 14158.85 8832.95 6943.71 11667.97 10973.9 18335.82 5147.65 6746.86 429.67 2046.41 3025.87 9770.82 3824.14 6280.65 10138.36 5445.8 1069.93 7880.69 8782.43 6864.85 5223.45 16833.14 9829.89 4096.28 7867.47 18008.3 5280.87 12673.71 2979.86 13832.21 10824.23 4421.05 14008.12 2458.68 2628.14 5084.2 5102.01 2787.48 5823.1 6533.88 8150.32 10870.53 5490.36 3371.98 2959.46 12051.02 10974.1 7122.7 5818.8 8306.92 17732.36 11972.4 6747.03 6468.91 3193.46 12714.91 6587.77 14271.23 7796.97 6788.38 3094.86 4191.32 1615.56 3812.74 4367.34 13089.5 18020.86 9792.46 3235.51 7977.72 6034.75 14835.37 20429.96 10589.36 8890.06 9025.37 4283.77 9366.3 2873.85 9896.58 3954.84 20209.07 7343.03 16930.61 6981.2 4512.68 3465.14 6986.24 16303.37 2422.97 434.53 14092.16 8224.23 6799 3260.61 8261.25 11343.46 5934.2 11299.09 4561.72 4964.38 15047.7 8604.64 7829.45 4428.19 16519.85 6618.55 12731.09 19104.09 5385.82 150.22 7116.56 4179.48 3034.93 8842.8 5571.35 7003.8 6856.4 10030.35
"Fabp7" 15985.54 3058.52 13253.52 2289.83 19037.38 2081.12 2494.55 9589.91 15734.99 6706.01 9846.89 2766.45 28989.2 14444.33 1528.02 453.2 23545.8 26127.42 1527.87 2352.97 14505.76 7092.46 4138.59 1290.67 1156.78 9950.13 8638.24 8448.68 1028.09 7386.6 5063.56 31.21 2576.93 80.78 3251.26 24.86 6985.25 3633.61 5241.47 7220.99 15052.67 1257.96 3669.18 33.8 4.51 15071.72 3671.4 5428.86 5134.14 4335.64 6681.59 18130.99 12704.53 3771.36 7802.53 2372.58 824.45 12728.02 5.41 8374.23 1351.32 8932.96 11297.97 2884.11 1225.38 25796.12 19.6 12494.3 713.94 2013.22 6184.33 1518.93 15933.33 2878.91 1240.87 23118.78 3065.74 3573.65 398.36 1634.83 9910.59 70.97 2839.16 35478.45 5115.83 3944.39 375.26 17758.95 3569.25 9149.86 5936.05 6398.43 13895.89 10711.65 507.34 1880.8 7571.82 21834.63 14044.28 2796.63 5416.85 10199.46 15449.1 1405.26 8317.39 18127.48 8875.62 1692.44 10.5 843.63 1373.05 2048.33 3772.71 1936.41 7213.33 10714.01 4132.45 6082.25 4200.97 1708 1204.09 4288.25 19.72 590.09 898.82 756.02 535.82 17965.78 11.82 18375.5 541.96 4189.73 29.98 356.07 6.35 13554.95 7974.31 4490.29 3605.07 2860.54 1950.25 2907.93 9365.35 46.42 42.58 60.4 25.84 16.61 38.06 22.88 0 43.84 1607 29.08 22.97 23.99 26.64 1436.36 15.61 17.9 15.71 13.42 85.56 0 11.81 21.87 2849.88 4.25 12.21 263.44 1.55 35.37
"Aldoc" 6012.69 4836.24 118.62 6145.14 15417.84 6127.73 7229.04 9727.12 18610.21 20192.97 10098.65 3625.74 6207.65 4939.8 7303.56 13627.09 4755.24 10284.31 18275.44 3133.54 14648.69 8311.5 587.87 5956.3 3774.57 8223.5 31.59 3841.31 10793.26 18323.63 10401.22 5997.45 6079.7 4318.62 9681.75 27.71 7464.07 20247.14 2501.48 4787.19 10379.61 704.09 9.07 1070.09 1339.52 5342.83 15877.58 2717.22 1888.75 3753.44 5519.41 11851.01 14674.41 10625.37 9245.32 15464 18.39 3402.24 23.65 12234.43 2205.71 3355.12 6315.91 10858.08 1749.93 4510.68 3526.64 3296.94 4194.04 2325.92 12019.57 827.24 12699.6 4415.04 8.57 18500.25 4612.11 10115.87 24.21 1788.25 16504.39 6073.25 542.68 14609.27 2382.83 6932.7 6833.5 4448.6 390.17 7366.63 7251.41 9995.62 17979.39 8587.62 7739.08 9191.44 8482.47 855.91 2032.58 4784.84 795.35 9025.54 3605.17 8.51 16939.97 18513.36 9156.81 44.02 7720.75 30.77 8.46 468.61 13.64 24.1 10409.77 7801.89 6643.56 5266.02 45.75 2189.72 93.64 8463.47 21.31 1869.85 8.94 19.45 24.12 12622.27 15.2 17290.05 4.45 35.92 18.51 13772.65 11.43 14834.17 38.77 1473.11 19.9 138.22 3518.01 22.35 5909.87 67.66 21.91 31.07 86.39 21.36 2263.19 39.24 37.31 58 284.93 9039.81 17.73 18.51 16.44 1463.37 44.17 17.49 17.51 19.56 1118.49 21.37 16.71 18.28 1973.97 9.83 20.95 1787.98 3562.85 2123.02
"Rpl41" 15835.42 3215.21 79.13 2117.77 246.34 3281.25 83.76 7402.6 81.03 5111.03 0 56.63 121.27 432.48 101.25 163.91 0 5606.18 10522.98 2299.98 112.22 0 0 0 0 0 3032.34 37.34 3585.06 4365.59 7842.53 225.76 0 2654.36 0 5275.43 1645.7 35.52 10526.36 4295.29 1452 9118.02 10411.97 200.71 1955.2 9580.82 0 2137.88 2643.65 2715.45 2210.18 176.54 177.76 76.21 8418.84 0 6699.93 8811.77 234.72 95.74 10690.93 3274.5 2638.59 6029.38 14891.62 0 170.14 4291.66 5970.25 5500.48 7111.94 15980.81 5387.91 3623.48 13202.04 74.32 1357.69 3324.53 7790.95 3359.77 383.17 123.2 9276.14 8612.68 9047.55 4360.98 8293.79 5831.99 4130.81 5487.38 4989.97 0 13893.97 5442.55 5961.99 3745.16 9085.01 0 8941.58 0 6475.97 2387.77 158.41 7765.85 15489.64 787.36 5448.8 0 9785.76 8470.6 7158.26 14984.39 1899.22 0 7411.64 6402.23 4101.47 4270.1 11924.12 8766.75 7056.41 6086.24 12224.18 16839.09 9411.82 12817.5 7557.8 7674.38 12102.26 4534.23 8157.23 2983.89 2359.62 3473.48 10217.52 3633.47 373.84 2667.21 95.95 5559.54 2031.38 16663.91 7037.64 24727.28 20576.29 104.86 25566.92 0 6672.92 198.63 5306.08 108.73 0 2440.05 9671.03 6872.95 5918.97 2919.25 8536.29 2175.12 5267 8736.16 2009.6 0 0 47.46 3716.03 2469.53 10001.63 8335.27 3501.58 5257.46
"Actb" 2564.16 2333.16 3131.61 4600.66 1785.77 2311.31 2555.33 2194.46 1403.86 1892.57 4282.25 3310.38 3797.25 3738.73 3895.1 2154.97 3630.82 2382.28 3056.47 2098.69 5178.27 6559.12 3720.28 2355.03 3426.27 2593.93 4202.53 2343.19 1798.61 6459.07 1830.7 2084.78 4113.37 2086.82 4382.14 5036.1 3902.05 1288.22 2112.73 5244.91 2759.98 7104.72 4071.21 2208.99 5628.25 2154.56 2091.56 6087 2999 3060.02 3547.64 5006.39 1946.91 2132.84 6372.58 6144.83 3644.5 4836.96 5899.73 1138.31 1781.75 2933.29 1799 1729.97 1371.56 1470.4 1185.53 2456.09 2535.5 2388.21 1303.71 4077.13 6050.86 4349.79 4070.02 3008.16 2254.23 2256.47 5130.1 2284.03 4581.82 3366.49 1812.02 2966.59 4141.35 5756.41 2919.17 3071.85 4055.22 3456.22 1698.01 4440.2 1964.33 3723.85 3479.39 2948.72 4191.86 2783.03 808.5 2668.21 3234.67 3664.84 2309.04 4254.14 3802.54 2804.76 1879.24 11266.75 4005.45 7290.85 3391.98 3649.88 6417.8 3047.36 2197.63 3915.7 3745.38 3637.87 2661.48 3441.08 3162.93 3625.28 4316.92 2831.12 3677.89 4956.87 6138.05 3565.89 11957.91 4241.95 4350.59 7874.79 2870.15 2714.16 3447.82 3189.07 6881.02 4499.02 1360.26 6747.91 4723.24 5479.44 4405.57 31083.37 21628.23 9671.7 6226.96 11368.45 2328.02 8187.61 4374.56 4708.15 5929.44 1677.57 5438.07 5434.68 14328.44 7782.45 20906.57 6017.26 1671.71 4360 6926.87 14548.15 13794.33 6952.99 9526.91 4125.05 8393.92 5326.4 4162.45 5363.07
