"X1772066100_D04" "X1772063062_G01" "X1772060224_F07" "X1772071035_G09" "X1772067066_E12" "X1772066100_B01" "X1772067096_G10" "X1772071017_B11" "X1772062109_A07" "X1772067065_F11" "X1772066100_G07" "X1772067073_C01" "X1772066098_D07" "X1772066070_H10" "X1772067093_A10" "X1772071044_C01" "X1772066070_A11" "X1772066076_A11" "X1772071017_A09" "X1772063078_C07" "X1772063078_B07" "X1772062116_E08" "X1772060225_A07" "X1772058171_G01" "X1772067059_A07" "X1772067074_D04" "X1772067065_H06" "X1772062115_E07" "X1772060225_D09" "X1772066098_C02" "X1772066073_E09" "X1772067096_A01" "X1772066080_A04" "X1772066100_A05" "X1772071035_G06" "X1772066102_B06" "X1772071036_E06" "X1772063077_D02" "X1772071017_B01" "X1772071017_A10" "X1772062115_G12" "X1772067073_H07" "X1772066096_C05" "X1772071044_H10" "X1772063074_A01" "X1772058171_F05" "X1772067083_G04" "X1772071035_E06" "X1772067058_C04" "X1772062116_B01" "X1772067082_F08" "X1772071017_B03" "X1772063068_D06" "X1772067058_C05" "X1772067073_E04" "X1772063074_G10" "X1772071044_F10" "X1772062128_C04" "X1772071041_E05" "X1772066102_F06" "X1772066076_F11" "X1772071044_A03" "X1772067059_E12" "X1772066108_E06" "X1772067058_E08" "X1772063061_B03" "X1772067065_F07" "X1772063068_G06" "X1772066076_A07" "X1772066099_C12" "X1772067065_E07" "X1772067094_C07" "X1772066107_H06" "X1772062114_H12" "X1772067094_H11" "X1772062114_H10" "X1772071014_D03" "X1772067066_C06" "X1772067073_E11" "X1772062113_C09" "X1772067093_H07" "X1772066101_F04" "X1772062111_G03" "X1772067057_B09" "X1772067059_H04" "X1772066101_E12" "X1772062113_G01" "X1772067057_G05" "X1772071045_H03" "X1772066095_G03" "X1772066098_A01" "X1772067058_B03" "X1772060240_C04" "X1772066096_B07" "X1772067064_E04" "X1772067070_H09" "X1772063071_H02" "X1772062111_D11" "X1772066098_B12" "X1772071014_E05" "X1772067083_F08" "X1772063079_C12" "X1772066100_E09" "X1772062109_H02" "X1772066074_C08" "X1772060226_D12" "X1772062118_F04" "X1772063061_G08" "X1772058148_H08" "X1772067059_H12" "X1772066102_G12" "X1772060226_H02" "X1772066108_D06" "X1772063074_C12" "X1772062128_E08" "X1772066070_H05" "X1772066102_A09" "X1772067082_A01" "X1772071036_C12" "X1772066100_D08" "X1772060225_D07" "X1772063062_C11" "X1772066103_C03" "X1772062114_B09" "X1772066107_B12" "X1772071015_D06" "X1772071017_A06" "X1772066097_C11" "X1772066070_F04" "X1772066101_G05" "X1772062128_A07" "X1772067057_H06" "X1772060226_F12" "X1772063078_C08" "X1772066099_H05" "X1772066101_D08" "X1772062116_C11" "X1772071035_G04" "X1772063078_H04" "X1772067059_E06" "X1772060225_C02" "X1772062115_D05" "X1772058171_B09" "X1772066077_G12" "X1772060226_B03" "X1772060226_C07" "X1772066073_F08" "X1772063071_B11" "X1772062128_G11" "X1772067076_F05" "X1772067066_E10" "X1772063063_G08" "X1772066101_H08" "X1772067083_H04" "X1772063064_E06" "X1772067076_A06" "X1772066099_E06" "X1772067058_H10" "X1772071036_A09" "X1772071036_A06" "X1772071045_H07" "X1772062116_E02" "X1772067070_C04" "X1772067054_G12" "X1772063071_H07" "X1772066099_H03" "X1772062111_G01" "X1772067083_B12" "X1772067059_B06" "X1772062118_B03" "X1772062113_C03" "X1772067058_H08" "X1772062116_G09" "X1772066098_C05" "X1772067059_G12" "X1772062128_F05" "X1772067065_F10" "X1772067082_H03" "X1772062115_B06" "X1772063065_F12" "X1772066099_B06" "X1772060224_A01" "X1772066074_C01" "X1772071040_H06" "X1772066102_B05" "X1772066098_B02" "X1772071035_F05" "X1772067069_C11" "X1772067082_D07" "X1772071045_E10" "X1772067058_H05" "X1772063074_G12" "X1772067094_A02" "X1772066077_C12" "X1772062118_D02" "X1772067064_B10" "X1772066098_B06" "X1772060240_D05" "X1772062118_A11" "X1772062128_F01"
"Slc1a2" 2 6 12 4 0 2 8 1 1 2 6 4 107 1 1 16 6 70 0 2 1 5 0 1 2 0 23 0 1 119 5 2 1 3 3 1 109 6 4 25 0 34 1 2 0 0 1 12 1 47 2 2 60 2 54 2 2 14 0 2 0 3 3 3 144 15 2 4 0 2 3 0 7 1 3 1 5 55 2 0 1 14 7 0 14 0 0 6 0 3 26 25 4 4 16 1 42 0 59 3 4 0 3 4 11 1 1 4 22 6 6 7 1 0 15 5 2 0 21 7 0 26 1 1 4 16 11 2 2 42 1 1 4 6 5 1 0 0 0 0 2 0 0 1 0 2 2 40 7 2 2 118 0 13 56 5 11 3 4 2 2 1 1 34 39 4 4 3 1 0 5 2 1 0 2 4 0 2 0 0 7 1 3 0 4 2 1 96 4 4 7 2 4 2 0 0 163 21 1 27
"Ndrg2" 0 0 1 0 1 0 4 0 0 0 0 0 6 0 0 1 0 13 0 1 0 0 0 7 0 0 0 0 0 13 0 3 0 1 0 1 17 0 0 0 0 7 0 1 0 0 0 0 0 9 0 0 19 0 5 0 0 7 0 0 1 0 0 2 22 0 2 0 0 0 8 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 8 0 0 3 0 12 0 12 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 13 0 0 0 0 2 0 5 0 2 1 2 0 0 0 6 0 0 0 5 0 0 0 2 0 0 0 0 0 0 0 0 0 3 1 0 0 9 1 0 6 0 0 0 0 0 0 0 0 5 19 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 2 0 0 0 0 0 2 0 23 2 0 2
"Hapln1" 0 0 0 0 0 0 0 0 0 16 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 25 0 0 1 0 0 0 0 2 2 0 0 0 2 0 0 17 0 0 3 0 2 0 0 4 0 0 0 0 0 0 3 0 23 1 0 8 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 17 0 0 0 0 5 0 0 0 0 0 0 0 0 4 0 0 0 0 0 1 0 0 0 0 3 0 5 0 0 0 0 24 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 6 1 0 10 1 0 4 2 23 0 0 0 0 0 0 0 0 2 0 0 0 26 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 5 0 0 1
"Lix1" 1 3 0 4 0 0 1 3 0 4 2 0 1 6 0 4 1 1 0 0 0 0 0 0 1 0 0 0 0 2 2 1 1 3 0 1 2 0 0 0 0 1 3 1 0 0 0 7 0 3 1 2 0 0 4 0 1 0 0 1 0 0 0 1 1 3 0 0 0 2 2 0 2 0 3 0 2 4 0 0 0 7 0 0 4 0 0 2 1 0 1 1 0 3 1 0 0 0 4 0 4 0 0 0 2 0 0 0 1 0 12 0 1 0 0 1 4 0 2 1 0 2 1 0 6 1 0 2 5 2 0 0 0 1 3 1 0 0 0 1 0 0 0 0 0 0 1 0 0 5 0 11 0 2 0 6 3 1 3 1 3 0 0 1 0 4 0 0 0 0 0 0 0 1 0 1 4 0 0 0 1 1 2 0 7 1 1 1 0 0 7 0 3 1 0 0 4 0 0 1
"Dclk1" 8 5 2 12 1 0 1 18 1 18 6 3 2 5 4 2 9 2 21 0 0 0 0 0 11 0 2 0 0 3 19 1 10 5 4 6 3 0 6 19 0 1 10 25 0 0 2 23 0 6 4 8 7 4 3 0 18 3 0 13 0 9 22 9 2 3 14 1 0 1 14 0 23 1 16 0 2 2 0 0 4 9 3 0 18 5 0 27 5 1 1 1 1 9 18 0 3 0 0 15 4 0 13 0 22 1 0 0 12 4 11 5 0 0 4 7 13 10 14 7 0 2 7 2 10 34 9 2 8 0 0 10 1 1 3 8 0 19 1 7 0 0 0 14 0 0 8 1 0 5 18 2 1 1 9 20 18 7 44 7 23 0 0 3 2 3 0 6 38 0 3 3 0 3 4 0 7 6 0 0 26 0 14 0 12 1 5 2 24 8 14 0 4 11 0 0 6 2 0 1
"Src" 1 1 1 5 0 2 2 2 0 5 4 0 1 0 0 2 0 0 8 0 1 0 0 0 2 0 5 0 0 0 3 0 3 6 1 0 0 0 0 5 1 1 1 3 1 0 0 7 0 3 2 5 1 2 1 0 1 0 0 0 0 3 5 3 2 1 1 1 1 2 2 0 4 0 0 0 3 0 1 0 0 0 1 0 5 3 0 3 0 2 1 0 2 2 3 2 1 0 3 3 1 0 2 0 1 0 0 0 0 5 4 1 0 0 0 2 2 1 4 2 0 1 2 2 1 4 2 2 1 3 0 3 0 1 4 1 1 3 0 1 0 0 0 4 0 0 2 3 0 1 1 1 0 1 0 10 4 4 6 0 8 0 0 2 1 0 0 2 2 0 1 4 0 0 1 0 2 1 0 3 12 1 0 0 3 1 2 1 1 1 3 0 3 0 0 0 0 2 0 0
"Slc6a1" 12 0 0 0 0 0 1 69 0 76 17 9 6 0 0 3 0 0 29 0 0 0 0 0 2 0 27 0 0 3 31 28 1 6 0 1 2 0 21 21 0 3 0 43 1 0 32 0 0 11 0 26 0 0 23 1 0 3 0 0 0 10 0 61 6 2 23 0 0 10 16 0 0 0 1 0 26 9 0 0 37 26 6 0 0 0 0 0 8 0 5 6 2 0 33 1 0 0 4 73 14 1 4 1 0 0 0 0 16 0 7 0 0 0 0 0 0 0 0 23 0 3 0 0 3 37 33 0 0 4 0 0 0 2 1 0 1 5 1 0 1 0 0 0 0 0 0 0 1 0 67 7 0 13 4 42 0 0 2 0 0 0 0 2 0 0 0 21 73 0 9 0 0 0 0 0 41 13 0 0 0 2 0 0 0 1 0 4 20 0 22 0 0 3 0 0 6 5 0 1
"Tab2" 0 0 1 3 9 1 1 1 1 0 0 0 0 1 0 0 1 3 2 0 0 2 1 7 3 0 3 0 3 1 3 3 2 0 3 0 0 0 4 4 0 0 0 0 1 0 2 4 0 2 3 3 0 2 2 1 1 4 0 1 0 0 8 0 1 0 0 2 6 6 0 6 4 0 2 0 0 0 0 0 0 1 1 1 3 0 0 3 0 1 1 0 2 4 4 5 0 5 0 0 1 5 1 2 2 1 0 0 0 2 2 0 0 1 0 2 2 3 5 0 0 1 0 0 1 2 5 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 2 1 1 1 0 4 5 3 2 1 3 0 2 0 1 0 0 0 2 0 0 0 1 0 0 0 0 1 1 1 1 0 3 0 3 0 0 4 3 1 1 1 0 0 2 0 2 0 0 0
"Scrg1" 0 4 0 0 0 0 0 8 3 0 0 0 4 0 0 0 0 22 0 0 5 0 0 2 3 0 0 0 0 11 2 0 1 0 0 0 9 0 0 0 0 4 0 0 1 0 0 0 0 7 0 15 13 0 1 1 0 1 1 0 0 0 0 25 1 0 0 1 0 0 0 0 0 1 0 0 6 0 4 0 0 3 0 0 0 0 0 0 0 0 0 2 9 0 0 5 0 7 5 0 2 0 0 0 0 1 0 5 0 0 0 0 4 1 0 0 0 0 0 0 1 0 0 6 1 0 0 0 0 3 0 0 0 1 0 0 2 0 4 0 1 1 4 0 0 0 0 2 0 0 0 3 0 1 0 8 0 0 0 0 0 2 0 2 1 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 3 0 0 3 2 0 0 0 0 11 1 0 1
"Laptm4a" 0 2 1 6 0 2 2 1 2 0 2 0 1 3 1 0 4 2 2 1 0 0 0 0 4 2 3 1 0 1 1 1 3 0 2 2 4 2 1 4 2 1 2 3 1 0 0 9 0 3 1 0 0 3 1 0 2 1 0 1 1 0 2 1 1 2 1 0 2 1 1 1 5 1 1 0 1 4 1 0 2 1 1 2 8 0 2 7 1 1 0 0 2 6 4 0 1 0 2 2 0 0 0 0 4 0 3 2 2 3 3 0 0 2 0 2 2 3 6 2 2 0 0 1 0 0 0 1 4 0 0 2 2 1 0 3 0 0 2 2 0 0 0 1 0 1 5 0 0 1 0 2 0 0 2 3 1 9 8 0 5 1 1 0 0 1 0 2 4 0 1 1 0 1 2 0 0 0 0 1 1 1 1 2 5 0 2 1 1 2 5 1 3 3 0 1 2 0 1 3
