motifDb	geneSet	motif	NES	AUC	highlightedTFs	TFinDB	TF_highConf	TF_lowConf	nEnrGenes	rankAtMax	enrichedGenes
10kb	Dlx5_top5perTarget	transfac_pro__M01388	3.92	0.0827	Dlx5	**	Dlx5 (directAnnotation).	Hoxd3 (inferredBy_MotifSimilarity).Nkx1-1; Nkx1-2; Vsx1 (inferredBy_MotifSimilarity_n_Orthology).	34	297	2610203C20Rik;Adamts17;AI854703;Arhgef10l;Bahcc1;Cirbp;Cplx1;Dlx1;Gad1;Gadd45gip1;Hexim2;Igf1;Iglon5;Ltbp3;Myt1;Npas1;Nxph1;Peli2;Plekha6;Prkab1;Ptchd2;Racgap1;Rgs8;Robo1;Rpl34;Sema3c;Shisa9;Slc12a5;Slc39a6;Spns2;Stox2;Syt6;Unc5d;Wnt5a
10kb	Dlx5_top5perTarget	cisbp__M1996	3.06	0.0737	Dlx5	*	Dlx1; Dlx4; Dlx6 (inferredBy_Orthology).	Dlx2; Hoxa5; Hoxa6; Hoxd3 (inferredBy_MotifSimilarity).Dlx3; Dlx5 (inferredBy_MotifSimilarity_n_Orthology).	212	4269	2610203C20Rik;A830010M20Rik;Abcg2;Ablim1;Ache;Adamts17;Adarb2;Adcyap1r1;Add3;AI854703;Akr1b10;Alk;Ank1;Ankrd27;Ankrd40;Ankrd50;Ankrd55;Arhgap6;Arhgef10l;Arhgef12;Bahcc1;Bend4;Boc;Brd2;Btbd11;C1qtnf1;Cabp1;Cacna1i;Calb2;Camk2d;Cbln2;Cd83;Cirbp;Cited2;Clasp1;Cntfr;Cntn5;Cntnap2;Cntnap4;Col19a1;Col25a1;Cplx1;Crabp1;Crh;Crispld1;Crtac1;Csdc2;Ctnnbip1;Cyp46a1;Dclk1;Ddah1;Dlg2;Dlgap3;Dlx1;Dlx5;Dock3;Dpysl5;Dyrk1a;Egfr;Elmo1;Emid1;Enho;Epb4.1l4a;Epha5;Erbb4;Etl4;Eya1;Faim2;Fam163a;Fgf1;Fgf14;Fgf9;Fhl1;Frem1;Fstl4;Fstl5;Fzd1;Gabbr2;Gabrg1;Gad1;Gad2;Gadd45gip1;Galnt14;Gas2l1;Gdf10;Gpr158;Grb10;Gria4;Grik1;Hapln1;Hexim2;Htr3b;Igf1;Iglon5;Il1b;Itga3;Jph3;Kcnmb2;Kctd16;Kctd8;Klhdc8b;Klhl24;Krt73;Lancl3;Lrrc4c;Lsamp;Ltbp3;Map2k3;Mapk14;Mapre2;Mphosph9;Mrap2;Mtss1;Mtus2;Mum1l1;Mxra7;Myt1;Nacc2;Nbr1;Npas1;Npas3;Npat;Nrtn;Nrxn3;Nt5dc2;Ntn1;Nxph1;Osbpl3;P2ry1;Pak1;Pde7a;Pdp1;Peli2;Per2;Pgpep1;Phyhipl;Plcl2;Plekha6;Ppp2r1b;Prkab1;Ptchd2;Ptprs;Pvrl2;Racgap1;Ralgps2;Rcan1;Reep5;Rimkla;Rimklb;Rpl34;Rwdd3;Samd4;Scml4;Scn9a;Sema3c;Sema6c;Sertad2;Setd7;Sgk1;Sgms1;Sh3pxd2b;Shd;Shisa9;Slc12a5;Slc12a6;Slc1a2;Slc35f4;Slc36a1;Slc39a6;Slc6a1;Slc7a1;Slitrk4;Sln;Smarca2;Sncaip;Snx18;Socs5;Spa17;Spns2;Spred1;Spry4;Src;Srsf1;St8sia4;Stox2;Stx17;Syt6;Tac2;Tapt1;Tef;Tex9;Thbs1;Tjp1;Tle2;Tmem108;Tmtc2;Tmub2;Tnfaip8l3;Trp53i11;Trpm3;Trpm7;Tshz3;Ubash3b;Unc5c;Unc5d;Utrn;Vac14;Vav3;Vstm2l;Wif1;Wnt5a;Wnt7a
10kb	Irf1_top5perTarget	hocomoco__STAT2_HUMAN.H11MO.0.A	4.06	0.0728	Irf1	*	Stat2 (inferredBy_Orthology).	Irf1; Irf2; Irf3; Irf4; Irf5; Irf6; Irf7; Irf8; Irf9 (inferredBy_MotifSimilarity).Stat1 (inferredBy_MotifSimilarity_n_Orthology).	18	313	Ahdc1;B2m;Gadd45b;Irf1;Kcne4;Kcnj16;Mdk;Midn;Parp12;Plekha6;Rhobtb2;Sepp1;Slc7a7;Srgn;St5;Tapbp;Tgfb3;Trib1
10kb	Irf1_top5perTarget	transfac_pro__M00699	4	0.0721	Irf1	*	Irf8 (directAnnotation).	Irf1; Irf2; Irf3; Irf4; Irf5; Irf6; Irf7 (inferredBy_MotifSimilarity).Irf9; Stat1; Stat2; Tbl1xr1 (inferredBy_MotifSimilarity_n_Orthology).	17	294	4930523C07Rik;Ahdc1;Bank1;Fcgr1;Gabrb1;Gja1;Kcnj2;Lhfp;Med13;Osbpl6;Rai1;Sertad2;Slc7a7;Slitrk2;Tapbp;Tbxas1;Tlr7
10kb	Irf1_top5perTarget	tfdimers__MD00138	3.64	0.0683	Irf1	**	Irf1; Irf2; Irf3; Irf4; Irf5; Irf7; Irf8; Irf9; Myb (inferredBy_Orthology).		18	392	Acsl5;Ahdc1;Capsl;Ccnd1;Egfr;H2-K1;Kcnj16;Lhfp;Mdk;Plekha6;Slc4a4;Slc7a7;St3gal6;Tnfaip3;Trpm7;Txnip;Usp2;Zfp703
10kb	Irf1_top5perTarget	transfac_pro__M07045	3.29	0.0646	Irf1	**	Irf1 (directAnnotation).	Irf2; Irf3; Irf4; Irf5; Irf6; Irf7; Irf8; Irf9; Prdm1 (inferredBy_MotifSimilarity).Stat1; Stat2 (inferredBy_MotifSimilarity_n_Orthology).	77	3202	4930523C07Rik;Acsl5;Adrb1;Ahdc1;Ahnak;Akap1;Anxa2;Arhgap31;Arhgef10l;Atg14;B2m;Bank1;Bcl2a1b;Cald1;Capsl;Ccl7;Ccnd1;Ccnd3;Cd163;Cited2;Ctgf;Ddr2;Egfr;Ehd1;Fcer1g;Fcgr1;Fgf14;Fyb;Gabrb1;Gadd45g;Gja1;Hfe;Il6ra;Irf1;Itgb5;Kcne4;Kcnj16;Kcnj2;Laptm5;Lhfp;Map3k5;Mdk;Med13;Midn;Mr1;Myh9;Nin;Nptx1;Osbpl6;P2ry13;Plekha6;Prkab1;Rgs5;Rhobtb2;Rnase4;Sepp1;Sertad2;Slamf9;Slc4a4;Slc7a7;Slco5a1;Slitrk2;Soat1;Srgn;St3gal6;Stard8;Stat6;Tapbp;Tbxas1;Tgfa;Tgfb3;Tnfaip3;Trib1;Trpm7;Txnip;Vgll4;Vps37b
10kb	Irf1_top5perTarget	taipale_cyt_meth__IRF2_YGAAASYGAAAS_FL_meth	3.17	0.0632	Irf1	*	Irf2 (inferredBy_Orthology).	Irf1; Irf3; Irf4; Irf5; Irf7; Irf8; Irf9 (inferredBy_MotifSimilarity).	14	271	Acsl5;Ahdc1;Ccnd1;Cited2;Ctnnd1;Gabrb1;H2-K1;Irf1;Kcne4;Mdk;Osbpl6;Plekha6;Slitrk2;Tapbp
10kb	Irf1_top5perTarget	dbcorrdb__IRF1__ENCSR000EGU_1__m1	3.08	0.0623	Irf1	**	Irf1 (inferredBy_Orthology).	Irf2; Irf3; Irf4; Irf5; Irf6; Irf7; Irf8; Irf9; Prdm1; Spi1; Spib (inferredBy_MotifSimilarity).Bcl11a; Ep300; Ikzf1; Mta3; Stat1; Stat2; Stat3; Tbl1xr1 (inferredBy_MotifSimilarity_n_Orthology).	85	3895	4930523C07Rik;Acsl5;Adrb1;Ahdc1;Akap1;Anxa2;Arhgef10l;Arhgef19;Atg14;B2m;Bcl2a1b;Cald1;Capsl;Ccl2;Ccl3;Ccnd1;Ccnd3;Cd163;Cd48;Cited2;Cmtm6;Ctnnd1;Ctss;Ddr2;E130114P18Rik;Egfr;Ehd1;Esam;Fcer1g;Fcgr1;Fgf14;Fstl4;Fyb;Gabrb1;Gja1;Gpr34;Gramd3;H2-K1;Hfe;Irf1;Kcne4;Kcnj16;Kcnj2;Lhfp;Map3k5;Mdk;Med13;Ms4a7;Msr1;Nin;Osbpl6;P2ry13;Parp12;Peli2;Plcl2;Plekha6;Prkab1;Rab3il1;Rhobtb2;Rnase4;Sertad2;Sgk3;Slc4a4;Slc7a7;Slco5a1;Slitrk2;Soat1;Srgn;St3gal6;St5;St8sia4;Stard8;Stat6;Stk17b;Tapbp;Tbxas1;Tgfb3;Tmem100;Tnfaip8;Trib1;Txnip;Usp2;Vgll4;Vps37b;Zfp36l2
10kb	Irf1_top5perTarget	transfac_pro__M08887	3.07	0.0622	Irf1	**	Irf1; Irf2; Irf3; Irf4; Irf5; Irf6; Irf7; Irf8; Irf9 (directAnnotation).	Prdm1; Stat1; Stat2 (inferredBy_MotifSimilarity_n_Orthology).	56	1942	4930523C07Rik;Adrb1;Ahdc1;Akap1;Anxa2;Bank1;Bcl2a1b;Cald1;Ccl7;Ccnd1;Cited2;Cmtm6;Ctnnd1;Egfr;Ehd1;Fgf14;Fyb;Gabrb1;Gadd45g;Gja1;Hfe;Il6ra;Irf1;Itgb5;Kcnj16;Kcnj2;Lhfp;Map3k5;Mdk;Med13;Mr1;Nin;Nptx1;Osbpl6;Plekha6;Prkab1;Rgs5;Rhobtb2;Rnase4;Sepp1;Sertad2;Slc4a4;Slc7a7;Slco5a1;Slitrk2;St3gal6;Stard8;Stat6;Tapbp;Tbxas1;Tgfa;Tnfaip3;Tnfaip8;Txnip;Vgll4;Vps37b
10kb	Irf1_top5perTarget	dbcorrdb__STAT1__ENCSR000FAU_1__m1	3.04	0.0619	Irf1	*	Stat1 (inferredBy_Orthology).	Irf1; Irf2; Irf3; Irf4; Irf5; Irf6; Irf7; Irf8; Irf9 (inferredBy_MotifSimilarity).Ep300; Ikzf1; Prdm1; Spi1; Stat2; Stat3; Tbl1xr1 (inferredBy_MotifSimilarity_n_Orthology).	39	1039	Ahdc1;Akap1;Bcl2a1b;Cacna1i;Ccl3;Ccnd1;Ccnd3;Cited2;Fyb;Gabrb1;Gadd45b;Gja1;H2-K1;Hfe;Irf1;Kcne4;Kcnj16;Kcnj2;Lhfp;Map3k5;Mdk;Med13;Mr1;Nin;Osbpl6;Plekha6;Rhobtb2;Sertad2;Slitrk2;Srgn;St3gal6;St5;Stard8;Stat6;Tapbp;Tgfb3;Txnip;Vgll4;Vps37b
